Architecture,Benchmark,Instruction Cache Size [B],Data Cache Size [B],CPI
X86,crc,262144,256,14.22707289
X86,crc,262144,512,9.409730571
X86,crc,262144,1024,7.253209077
X86,crc,262144,2048,4.84037156
X86,crc,262144,4096,3.686568142
X86,crc,262144,8192,3.629490361
X86,crc,262144,16384,3.578810586
X86,crc,262144,32768,3.574962389
X86,crc,262144,65536,3.57495556
X86,crc,262144,131072,3.574950035
X86,crc,262144,262144,3.574950035
X86,susan,128,128,29.63537498
X86,susan,128,256,21.0086725
X86,susan,128,512,12.71051283
X86,susan,128,1024,9.588961358
X86,susan,128,2048,8.004983012
X86,susan,128,4096,7.967871857
X86,susan,128,8192,7.969293475
X86,susan,128,16384,7.96332562
X86,susan,128,32768,7.892431617
X86,susan,128,65536,7.843281858
X86,susan,128,131072,7.823171321
X86,susan,128,262144,7.833601418
X86,susan,256,128,29.52625478
X86,susan,256,256,20.92244518
X86,susan,256,512,12.59185919
X86,susan,256,1024,9.480229643
X86,susan,256,2048,7.921340647
X86,susan,256,4096,7.888114267
X86,susan,256,8192,7.873707
X86,susan,256,16384,7.865830355
X86,susan,256,32768,7.792962467
X86,susan,256,65536,7.743976498
X86,susan,256,131072,7.728097216
X86,susan,256,262144,7.725279179
X86,susan,512,128,28.56653675
X86,susan,512,256,19.91323931
X86,susan,512,512,11.68227366
X86,susan,512,1024,8.612872676
X86,susan,512,2048,7.082857011
X86,susan,512,4096,7.049042665
X86,susan,512,8192,7.03511837
X86,susan,512,16384,7.03166407
X86,susan,512,32768,6.965969367
X86,susan,512,65536,6.911958389
X86,susan,512,131072,6.890128051
X86,susan,512,262144,6.889771071
X86,susan,1024,128,26.21543915
X86,susan,1024,256,17.68717478
X86,susan,1024,512,9.472777173
X86,susan,1024,1024,6.558674809
X86,susan,1024,2048,5.081861668
X86,susan,1024,4096,5.032541819
X86,susan,1024,8192,5.026800751
X86,susan,1024,16384,5.022819381
X86,susan,1024,32768,4.955224288
X86,susan,1024,65536,4.912584153
X86,susan,1024,131072,4.897322235
X86,susan,1024,262144,4.89498927
X86,susan,2048,128,24.23481683
X86,susan,2048,256,15.89667547
X86,susan,2048,512,8.232284374
X86,susan,2048,1024,5.545932745
X86,susan,2048,2048,4.1972332
X86,susan,2048,4096,4.162221924
X86,susan,2048,8192,4.150731388
X86,susan,2048,16384,4.131242414
X86,susan,2048,32768,4.080498847
X86,susan,2048,65536,4.032489322
X86,susan,2048,131072,4.023146962
X86,susan,2048,262144,4.020553612
X86,susan,4096,128,24.14507851
X86,susan,4096,256,15.81601703
X86,susan,4096,512,8.187617856
X86,susan,4096,1024,5.45139201
X86,susan,4096,2048,4.123128483
X86,susan,4096,4096,4.086783784
X86,susan,4096,8192,4.070513924
X86,susan,4096,16384,4.053931183
X86,susan,4096,32768,4.005421887
X86,susan,4096,65536,3.956471616
X86,susan,4096,131072,3.946982264
X86,susan,4096,262144,3.945768535
X86,susan,8192,128,24.1124758
X86,susan,8192,256,15.78528741
X86,susan,8192,512,8.124577399
X86,susan,8192,1024,5.439993868
X86,susan,8192,2048,4.103482019
X86,susan,8192,4096,4.064172291
X86,susan,8192,8192,4.052814047
X86,susan,8192,16384,4.037453435
X86,susan,8192,32768,3.983501254
X86,susan,8192,65536,3.940052665
X86,susan,8192,131072,3.929975347
X86,susan,8192,262144,3.927890168
X86,susan,16384,128,24.05782436
X86,susan,16384,256,15.73713929
X86,susan,16384,512,8.109134892
X86,susan,16384,1024,5.421399443
X86,susan,16384,2048,4.088675775
X86,susan,16384,4096,4.048906173
X86,susan,16384,8192,4.040023687
X86,susan,16384,16384,4.020492716
X86,susan,16384,32768,3.971947721
X86,susan,16384,65536,3.927873369
X86,susan,16384,131072,3.91591666
X86,susan,16384,262144,3.913646691
X86,susan,32768,128,24.03228563
X86,susan,32768,256,15.75076961
X86,susan,32768,512,8.084062341
X86,susan,32768,1024,5.405314373
X86,susan,32768,2048,4.073636444
X86,susan,32768,4096,4.036586185
X86,susan,32768,8192,4.026975041
X86,susan,32768,16384,4.009562847
